unique_carrier,origin,destination,departure_time,month,day_of_month,day_of_week,distance,is_delayed
RQ,OLV,TVQ,1605,7,24,7,952,0
NB,CLO,PRI,922,12,31,7,323,0
NB,PVQ,IQQ,1649,12,14,4,1056,0
WP,RJB,ULQ,1404,2,11,5,1557,0
NB,QTP,PQM,630,11,10,4,368,0
NB,TWP,RTQ,1857,8,5,5,189,1
TT,QFT,PVQ,1357,12,23,6,887,1
XJ,JNS,OEJ,940,6,24,6,725,1
NB,QTP,PTB,720,3,28,2,258,0
NB,OLV,ULQ,1610,3,5,7,290,0
NB,CWS,HTE,1925,5,13,6,325,1
WP,IQQ,RMT,1947,2,23,3,899,0
WT,OMH,HSR,1850,1,12,3,1005,1
HH,HSR,SRW,700,10,9,7,647,0
MH,JNS,YTL,921,6,16,4,1400,0
MH,JNS,OYT,1543,11,26,6,1086,0
TT,QTX,HSR,1008,7,21,4,1745,0
TT,PJT,RIN,1417,7,12,3,1660,1
WP,PBT,QTP,801,12,13,3,226,0
NB,ULX,PTB,2144,7,28,5,304,1
TP,PJT,HTE,1457,9,13,2,671,1
TP,PJT,PDM,1442,12,27,3,697,0
JG,OFO,TVQ,2028,2,2,3,147,0
HH,RJB,PQM,1717,10,12,3,391,0
WT,QTX,CHP,2209,4,22,5,2611,0
WT,HFF,QTX,2128,7,3,1,2486,0
RQ,PQM,ULQ,951,4,13,3,1926,0
RQ,TVQ,OPU,338,9,24,7,906,1
HH,URX,PQM,1813,4,24,1,630,0
XJ,YTL,FUV,732,3,9,3,376,0
OZ,QTX,PTB,1859,6,1,3,109,0
MH,QFT,YTL,1656,10,22,7,1416,1
RQ,RMT,QFT,2025,2,7,1,214,0
IQ,IQQ,TVQ,623,3,19,7,581,0
JG,TVQ,MLT,2145,4,19,3,106,0
WP,JQU,ULX,601,3,9,4,347,0
IQ,TVQ,CNY,2125,7,14,4,576,0
XJ,YTL,CLO,807,10,25,3,562,1
WT,CHP,RJB,1656,2,17,4,1754,0
AG,ITV,ULX,1222,4,12,3,493,0
I9,RMT,RJB,857,11,19,6,1476,0
RQ,OYT,TVQ,1906,3,17,4,595,0
HH,OSA,PQM,627,11,10,4,607,1
NB,PTB,ULX,1759,10,13,5,304,0
RQ,CHP,TVQ,612,8,16,2,946,0
WT,PIH,TWP,1054,5,28,6,1504,0
RQ,TVQ,RTC,2300,3,11,5,366,0
C6,DIE,PDW,625,10,3,2,1597,0
AG,QTX,ULX,1135,8,9,3,370,0
XJ,YTL,TCZ,949,8,10,4,744,0
WT,MQV,RJB,1654,3,23,4,1337,0
TT,QTX,DIE,2236,5,27,5,2475,0
NB,RTQ,TOT,1140,5,29,1,324,0
TT,IQQ,HSR,1639,2,5,6,1182,0
XJ,YTL,LSQ,1201,8,14,7,295,0
WT,HOT,HSR,756,3,25,6,416,0
